space,,,,,,,,,,,,
addAccused,1,Caitlin,Ritter,14/03/2025,32387 Martin Court Suite 700,(424)976-9780x5726,hollandanthony@jones-perkins.com,M,"Social research officer, government",,,
addAccused,2,Michelle,Flores,18/07/2014,769 Kiara Alley,+1-216-558-8128x2062,thomasscott@yahoo.com,M,"Nurse, adult",,,
addAccused,3,Alexandra,Dorsey,3/10/1992,572 Joshua Valley,(261)790-3596x520,sandra89@gonzales-wright.com,M,Solicitor,,,
addAccused,4,Michelle,Gray,13/09/1989,8961German Colony,001-294-935-0983x2910,charles24@gmail.com,F,Lawyer,,,
addAccused,5,John,Martinez,20/11/2002,6104 Hadar,1012991939,opatterson@yahoo.com,F,Publishing copy,,,
addAccused,6,Richard,Murphy,13/09/2010,623Carmel Center,4731895594,madams@williams.com,M,"Sales professional, IT",,,
addAccused,7,Laura,Neal,13/12/1998,289  German Colony,001-403-137-9978x0498,stevechandler@marks.com,F,Jewellery designer,,,
addAccused,8,Amy,Sellers,12/1/1997,662Downtown Haifa,564.034.0354x178,wjames@mahoney.com,M,"Accountant, chartered management",,,
addAccused,9,Andrew,Roman,12/2/1995,690Kiryat Eliezer,475.514.7693x35633,michael42@yahoo.com,M,Health and safety inspector,,,
addAccused,10,Allison,Elliott,14/03/1993,18469Neve Sha'anan,878.162.2820,vmurray@pearson.org,F,Careers adviser,,,
addAccused,11,Russell,Warren,14/04/1991,5067Kiryat Shmuel,(726)446-2066x8816,mcneilterri@hotmail.com,F,Seismic interpreter,,,
addAccused,12,John,Gilmore,14/05/1989,59928Ramat HaNasi,336.660.8130x64543,zford@wagner-chan.com,F,Chartered management accountant,,,
addAccused,13,Ryan,Singh,22/08/1986,32387 Martin Court Suite 700,5016245424,leegentry@collier-day.com,M,Museum/gallery curator,,,
addAccused,14,Bill,Mcdowell,5/9/2001,769 Kiara Alley,(226)451-8100x365,christina06@gmail.com,F,Land,,,
addAccused,15,Natalie,Mccormick,9/2/2003,572 Joshua Valley,(116)825-8582x87776,fsilva@yahoo.com,F,"Accountant, chartered",,,
addAccused,16,Daryl,Blackwell,23/06/1999,8961German Colony,(591)246-5400x66126,thomaslowe@yahoo.com,F,Politician's assistant,,,
addAccused,17,Micheal,Melton,1/1/2000,6104 Hadar,209.790.2509,powersjessica@hotmail.com,M,"Psychologist, prison and probation services",,,
addAccused,18,Emily,Young,11/11/1994,623Carmel Center,370-162-5066,cookgary@vargas-jones.biz,F,"Engineer, broadcasting (operations)",,,
addAccused,19,Brian,Mason,15/07/1988,289  German Colony,138-886-2374x668,qramos@berg.com,F,"Editor, magazine features",,,
addAccused,20,Mario,Miller,18/12/1990,662Downtown Haifa,692066640,haleandrew@martin.com,M,Theatre stage manager,,,
addAccused,12,Amy,Jacobs,19/05/2004,690Kiryat Eliezer,137066379,owennatalie@gilmore.com,M,Energy engineer,,,
addAccused,22,Christopher,Mendez,21/04/1996,18469Neve Sha'anan,904.785.4644x44057,wlane@hotmail.com,F,Prison officer,,,
